Fiscal Year,Library,County,Principal Public?,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Collection,Collection Per Capita Served,Total Operating Income,Wages & Salaries Expenditures
1997,Waterford,New London,P,7,17214,,,11734,0.68,16673,1,247848,14.4,393,6802,110651,6.4,1055876,683727
1997,Watertown,Litchfield,P,114,21526,90143,4.2,10456,0.49,48236,2.2,119034,5.5,101,2787,69478,3.2,549257,100894
1997,West Hartford,Hartford,P,47,56343,520345,9.2,29910,0.53,186605,3.3,842481,15,821,27656,300527,5.3,2716024,1635558
1997,West Haven,New Haven,P,156,52172,151736,2.9,27232,0.52,12295,0.2,233430,4.5,62,6299,148400,2.8,1072097,595358
1997,Westbrook,Middlesex,P,33,5439,39000,7.2,3500,0.64,3676,0.7,68120,12.5,64,1393,39135,7.2,221737,136230
1997,Weston,Fairfield,P,5,9193,,,,,,,114730,12.5,28,834,53973,5.9,269627,163802
1997,Westport,Fairfield,P,2,24565,364536,14.8,15046,0.61,92815,3.8,484466,19.7,718,16960,194301,7.9,2472071,1543319
1997,Wethersfield,Hartford,P,60,23831,217447,9.1,11436,0.48,43658,1.8,191883,8.1,280,10454,133533,5.6,799608,511735
1997,Willington,Tolland,P,145,6309,14157,2.2,3000,0.48,4091,0.6,18385,2.9,9,755,13654,2.2,57568,35541
1997,Wilton,Fairfield,P,6,16576,194000,11.7,15000,0.9,20879,1.3,208495,12.6,276,6689,123791,7.5,1289452,562507
1997,Winchester - Beardsley,Litchfield,P,140,16312,49304,3,7154,0.44,1562,0.1,52234,3.2,164,2156,43641,2.7,253225,120686
1997,Windham - Guilford Sm,Windham,N,166,,3536,0.2,849,0.04,61,0,3888,0.2,12,178,9467,0.4,24689,7975
1997,Windham - Willimantic,Windham,P,166,23642,120000,5.1,5965,0.25,1280,0.1,85333,3.6,99,1730,60919,2.6,432574,241912
1997,Windham Free,Windham,N,166,,9275,0.4,527,0.02,95,0,9275,0.4,,,8394,0.4,27126,14405
1997,Windsor,Hartford,P,72,27835,253851,9.1,16399,0.59,32025,1.2,310279,11.1,582,11113,114346,4.1,1000011,555443
1997,Windsor Locks,Hartford,P,68,12240,,,4733,0.39,,,45395,3.7,115,,52670,4.3,267343,128112
1997,Wolcott,New Haven,P,122,14444,61048,4.2,3810,0.26,,,82028,5.7,139,1770,49322,3.4,268753,135001
1997,Woodbridge,New Haven,P,17,8083,,,,,7370,0.9,173887,21.5,251,4422,62938,7.8,493502,300177
1997,Woodbury,Litchfield,P,45,8759,,,6453,0.74,13406,1.5,104743,12,202,5043,61642,7,470828,181718
1997,Woodstock - Bracken,Windham,P,101,6338,3200,0.5,2472,0.39,6233,1,15102,2.4,41,1110,16721,2.6,12943,5286
1997,"Woodstock, East",Windham,N,101,,2600,0.4,200,0.03,500,0.1,7368,1.2,,,11407,1.8,13147,3925
1998,Andover,Tolland,P,113,2740,9000,3.3,1687,0.62,379,0.1,15279,5.6,90,815,15928,5.8,66866,35669
1998,Ansonia,New Haven,P,155,17807,104000,5.8,9529,0.54,,,75687,4.3,234,6227,69302,3.9,370679,212996
1998,Ashford-Babcock,Windham,P,144,3921,13659,3.5,1649,0.42,560,0.1,28421,7.2,107,1199,24963,6.4,130656,73192
1998,Avon,Hartford,P,19,13725,171972,12.5,8742,0.64,21230,1.5,238718,17.4,415,11040,76435,5.6,861438,411116
1998,Beacon Falls,New Haven,P,126,5135,7500,1.5,1562,0.3,425,0.1,10641,2.1,18,1044,7525,1.5,48424,28674
1998,Berlin-Peck,Hartford,P,50,17061,103626,6.1,7924,0.46,5927,0.3,235066,13.8,384,7727,82744,4.8,684829,350841
1998,Bethany - Clark,New Haven,P,51,4730,19800,4.2,3560,0.75,750,0.2,45437,9.6,45,436,34830,7.4,71756,33689
1998,Bethel,Fairfield,P,71,17757,152466,8.6,12726,0.72,14560,0.8,136950,7.7,222,4968,86019,4.8,471592,285999
1998,Bethlehem,Litchfield,P,66,3260,16308,5,2814,0.86,2279,0.7,33851,10.4,45,790,23730,7.3,73882,43607
