,Fiscal Year,Library,County,Principal Public?,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Collection,Collection Per Capita Served,Total Operating Income,Wages & Salaries Expenditures,Population Bin
202,1997,Chaplin,Windham,P,136.0,2127.0,5616.0,2.6,410.0,0.19,20040.20407729879,0.7465547060014956,6897.0,3.2,1.0,40.0,14377.0,6.8,26981.0,12804.0,"(483.934, 15438.6]"
203,1997,Cheshire,New Haven,P,54.0,26660.0,99500.0,3.7,20645.0,0.77,24950.0,0.9,271204.0,10.2,90.0,3409.0,106484.0,4.0,861204.0,659008.0,"(15438.6, 30245.2]"
204,1997,Chester,Middlesex,P,63.0,3621.0,20000.0,5.5,2800.0,0.77,1103.0,0.3,32932.0,9.1,48.0,898.0,14387.0,4.0,47198.0,28583.0,"(483.934, 15438.6]"
205,1997,Clinton - Henry C. Hull,Middlesex,P,92.0,13100.0,108243.81620957839,5.409180655736961,6700.0,0.51,2000.0,0.2,224169.0,17.1,219.0,5040.0,40466.0,3.1,350072.0,188212.0,"(483.934, 15438.6]"
206,1997,Colchester - Cragin,New London,P,131.0,12101.0,34892.0,2.9,8580.0,0.71,3944.0,0.3,74151.0,6.1,182.0,5275.0,29991.0,2.5,184626.0,112015.0,"(483.934, 15438.6]"
207,1997,Columbia - S.B. Little,Tolland,P,81.0,4802.0,4040.0,0.8,2840.0,0.59,4012.0,0.8,34538.0,7.2,25.0,1848.0,27027.0,5.6,155161.0,79349.0,"(483.934, 15438.6]"
208,1997,Cornwall,Litchfield,P,12.0,1497.0,8700.0,5.8,620.0,0.41,20040.20407729879,0.7465547060014956,13980.0,9.3,3.0,65.0,15240.0,10.2,31990.0,13105.0,"(483.934, 15438.6]"
209,1997,Coventry - Booth Dim,Tolland,P,129.0,10863.0,39950.0,3.7,4551.0,0.42,2355.0,0.2,92456.0,8.5,178.0,3558.0,45044.0,4.1,190760.0,102090.0,"(483.934, 15438.6]"
210,1997,Cromwell,Middlesex,P,97.0,12631.0,51987.0,4.1,4413.0,0.35,4523.0,0.4,82246.0,6.5,124.0,3448.0,42089.0,3.3,329270.0,230919.0,"(483.934, 15438.6]"
211,1997,Danbury,Fairfield,P,78.0,67511.0,226705.0,3.4,26931.0,0.4,36954.0,0.5,308582.0,4.6,714.0,16582.0,89078.0,1.3,1526360.0,1060860.0,"(59858.4, 74665.0]"
212,1997,Darien,Fairfield,P,1.0,19271.0,346815.0,18.0,17196.0,0.89,34453.0,1.8,485714.0,25.2,44.0,9126.116605616606,145467.0,7.5,1678090.0,861494.0,"(15438.6, 30245.2]"
213,1997,Deep River,Middlesex,P,86.0,4480.0,23126.0,5.2,3726.0,0.83,828.0,0.2,19808.0,4.4,4.0,150.0,19927.0,4.4,71881.0,30687.0,"(483.934, 15438.6]"
214,1997,Derby,New Haven,P,138.0,11954.0,35372.0,3.0,2801.0,0.23,4992.0,0.4,31911.0,2.7,285.0,7132.0,44498.0,3.7,240768.0,146811.0,"(483.934, 15438.6]"
215,1997,Derby Neck,New Haven,N,138.0,21222.776174062903,45344.0,3.8,2163.0,0.18,1725.0,0.1,53741.0,4.5,37.0,1578.0,44826.0,3.7,332973.0,127055.0,"(15438.6, 30245.2]"
216,1997,Durham,Middlesex,P,88.0,6291.0,37313.0,5.9,4298.0,0.68,15150.0,2.4,78513.0,12.5,145.0,2933.0,41174.0,6.5,229857.0,142772.0,"(483.934, 15438.6]"
217,1997,East Granby,Hartford,P,46.0,4447.0,32625.0,7.3,3504.0,0.79,800.0,0.2,33634.0,7.6,118.0,1403.0,24963.0,5.6,77103.0,38683.0,"(483.934, 15438.6]"
218,1997,East Haddam,Middlesex,P,85.0,7333.0,15994.0,2.2,4489.0,0.61,103.0,0.0,18159.0,2.5,138.0,1657.0,20241.0,2.8,62459.0,32866.0,"(483.934, 15438.6]"
219,1997,East Haddam - Rathbun,Middlesex,N,85.0,21222.776174062903,20960.0,2.9,3685.0,0.5,10998.0,1.5,27462.0,3.7,95.0,1532.0,21471.0,2.9,129400.0,55363.0,"(15438.6, 30245.2]"
220,1997,East Hampton,Middlesex,P,107.0,11010.0,42500.0,3.9,7682.0,0.7,3943.0,0.4,67520.0,6.1,229.0,3302.0,37055.0,3.4,260138.0,193895.0,"(483.934, 15438.6]"
221,1997,East Hampton - Middle,Middlesex,N,107.0,21222.776174062903,3000.0,0.3,574.0,0.05,20040.20407729879,0.7465547060014956,6398.0,0.6,38.0,258.0,16939.0,1.5,24117.0,10171.0,"(15438.6, 30245.2]"
222,1997,East Hartford,Hartford,P,104.0,47985.0,191100.0,4.0,38823.0,0.81,20412.0,0.4,166670.0,3.5,65.0,2750.0,351662.0,7.3,755454.0,524514.0,"(45051.8, 59858.4]"
223,1997,East Haven - Hagaman,New Haven,P,142.0,26453.0,81500.0,3.1,17700.0,0.67,14500.0,0.5,130934.0,4.9,116.0,2256.0,56966.0,2.2,534361.0,289302.0,"(15438.6, 30245.2]"
224,1997,East Lyme,New London,P,83.0,15869.0,70000.0,4.4,18472.0,1.16,17720.0,1.1,175156.0,11.0,412.53696576868543,6486.0,84456.0,5.3,664101.0,371748.0,"(15438.6, 30245.2]"
225,1997,East Windsor - Warehouse,Hartford,P,102.0,9723.0,29078.0,3.0,3814.0,0.39,20040.20407729879,0.7465547060014956,52349.0,5.4,387.0,4693.0,32037.0,3.3,269040.0,142578.0,"(483.934, 15438.6]"
226,1997,Eastford,Windham,P,132.0,1477.0,5395.0,3.7,590.0,0.4,200.0,0.1,10573.0,7.2,1.0,9126.116605616606,11234.0,7.6,24540.0,12795.0,"(483.934, 15438.6]"
227,1997,Easton,Fairfield,P,11.0,6560.0,49002.0,7.5,2863.0,0.44,7954.0,1.2,76955.0,11.7,180.0,4364.0,47959.0,7.3,268402.0,131429.0,"(483.934, 15438.6]"
228,1997,Ellington - Hall,Tolland,P,120.0,11688.0,81329.0,7.0,8375.0,0.72,5624.0,0.5,107599.0,9.2,111.0,2661.0,40840.0,3.5,329719.0,175728.0,"(483.934, 15438.6]"
